"Abrangência";"Partido";"Eleitores";"%"
"PI";"PRB";"7.233";"0,043"
"PI";"PROS";"1.871";"0,011"
"PI";"PRP";"7.714";"0,046"
"PI";"PRTB";"5.268";"0,031"
"PI";"PSB";"17.571";"0,105"
"PI";"PSC";"4.104";"0,024"
"PI";"PSD";"7.921";"0,047"
"PI";"PSDB";"25.958";"0,155"
"PI";"PSL";"2.803";"0,017"
"PI";"PSOL";"1.172";"0,007"
"PI";"PSTU";"220";"0,001"
"PI";"PT";"27.988";"0,167"
"PI";"PTB";"25.671";"0,153"
"PI";"PTC";"3.931";"0,023"
"PI";"PV";"5.706";"0,034"
"PI";"REDE";"538";"0,003"
"PI";"SD";"4.733";"0,028"
"PR";"AVANTE";"5.856";"0,035"
"PR";"DC";"9.085";"0,054"
"PR";"DEM";"71.559";"0,426"
"PR";"MDB";"188.015";"1,120"
"PR";"NOVO";"1.206";"0,007"
"PR";"PATRI";"4.229";"0,025"
"PR";"PC DO B";"7.178";"0,043"
"PR";"PCB";"568";"0,003"
"PR";"PCO";"70";"0,000"
"PR";"PDT";"74.607";"0,445"
"PR";"PHS";"12.713";"0,076"
"PR";"PMB";"2.399";"0,014"
"PR";"PMN";"10.877";"0,065"
"PR";"PODE";"11.111";"0,066"
"PR";"PP";"112.594";"0,671"
"PR";"PPL";"3.037";"0,018"
"PR";"PPS";"33.188";"0,198"
"PR";"PR";"49.819";"0,297"
"PR";"PRB";"13.946";"0,083"
"PR";"PROS";"5.615";"0,033"
"PR";"PRP";"12.400";"0,074"
"PR";"PRTB";"7.374";"0,044"
"PR";"PSB";"32.442";"0,193"
"PR";"PSC";"45.605";"0,272"
"PR";"PSD";"24.451";"0,146"
"PR";"PSDB";"87.614";"0,522"
"PR";"PSL";"18.231";"0,109"
"PR";"PSOL";"2.236";"0,013"
"PR";"PSTU";"196";"0,001"
"PR";"PT";"77.385";"0,461"
"PR";"PTB";"68.954";"0,411"
"PR";"PTC";"9.192";"0,055"
"PR";"PV";"28.688";"0,171"
"PR";"REDE";"762";"0,005"
"PR";"SD";"8.356";"0,050"
"RJ";"AVANTE";"27.286";"0,163"
"RJ";"DC";"15.475";"0,092"
"RJ";"DEM";"39.362";"0,235"
"RJ";"MDB";"142.873";"0,851"
"RJ";"NOVO";"2.598";"0,015"
"RJ";"PATRI";"3.271";"0,019"
"RJ";"PC DO B";"27.649";"0,165"
"RJ";"PCB";"1.501";"0,009"
"RJ";"PCO";"243";"0,001"
"RJ";"PDT";"196.236";"1,169"
"RJ";"PHS";"19.159";"0,114"
"RJ";"PMB";"4.031";"0,024"
"RJ";"PMN";"19.958";"0,119"
